x,y
117.05,185.42
230.72,189.30
302.43,178.89
352.27,190.30
472.51,190.41
592.50,192.55
709.13,194.04
834.10,190.20
107.45,296.83
225.67,300.33
350.12,299.88
469.00,300.80
592.88,304.25
716.88,303.00
103.50,413.44
221.23,412.16
252.33,426.83
348.18,413.94
376.55,436.45
401.00,409.00
474.40,417.40
598.52,415.57
718.35,415.55
839.05,418.37
96.61,529.16
219.80,530.00
429.00,553.00
469.47,531.32
90.80,648.92
215.96,649.66
333.00,611.00
427.00,589.00
427.00,609.00
597.78,653.48
611.00,631.00
293.00,730.00
298.50,704.50
392.00,740.00
413.70,719.43
418.00,678.00
605.50,690.00
831.30,716.00
85.91,772.59
376.00,780.50
848.95,777.39
269.17,920.17
473.36,892.18
723.20,897.52
848.20,899.60
