x,y
115.18,215.64
226.55,219.15
339.79,222.96
455.00,226.28
569.58,229.18
682.33,231.74
793.80,234.40
105.27,328.02
220.28,331.62
335.54,336.38
452.22,339.73
568.02,342.57
683.22,344.23
796.80,346.59
97.66,445.12
214.50,447.48
332.48,452.47
449.99,455.76
566.95,458.17
682.52,460.00
797.97,462.12
91.69,563.55
209.83,565.91
329.27,569.30
447.14,572.32
564.84,575.34
681.32,577.64
798.14,579.77
87.96,684.71
206.56,685.86
326.13,688.19
444.59,690.69
562.80,693.37
680.47,696.19
797.89,699.33
83.52,806.07
202.44,806.58
322.75,808.32
441.67,810.10
560.19,812.79
679.09,816.52
795.84,819.92
199.26,928.19
319.05,929.12
438.94,930.76
557.90,933.16
676.68,936.53
