x,y
62.71,59.21
103.00,52.00
1066.84,53.79
1077.21,37.81
1078.46,45.24
1088.13,54.67
1246.95,17.43
382.00,156.00
601.50,171.00
799.50,187.00
807.06,188.34
904.50,197.00
385.78,263.16
493.43,266.57
803.00,287.50
273.50,362.50
492.00,373.00
597.21,381.14
700.65,383.83
801.28,389.00
900.21,396.33
380.43,475.57
595.43,484.57
699.94,488.94
899.50,497.00
376.65,585.83
486.00,588.61
591.91,593.75
698.93,595.45
261.79,688.86
372.61,695.00
485.04,697.51
589.17,700.05
591.00,707.50
900.21,700.86
16.43,777.54
33.16,897.78
63.00,789.20
71.50,901.00
78.80,795.40
109.07,868.55
136.00,872.00
192.50,855.00
369.00,808.00
480.25,806.59
589.24,811.02
696.00,807.55
