x,y
128.40,88.09
54.00,118.00
101.76,147.57
74.69,195.01
714.50,232.00
344.60,247.60
108.50,254.50
598.00,351.00
99.32,366.27
338.00,360.33
218.72,365.42
17.33,417.50
6.43,483.00
589.00,471.43
847.40,463.80
465.00,473.22
331.71,480.86
855.07,587.57
721.91,593.32
590.67,595.78
466.50,596.00
326.86,602.29
722.05,716.57
859.29,722.86
587.00,730.50
191.00,736.00
450.00,854.00
596.00,854.00
189.11,856.00
723.00,863.50
315.00,865.00
862.00,865.00
54.00,867.00
176.43,987.63
309.25,994.75
727.86,992.00
952.00,1082.50
938.54,1193.67
955.00,1223.50
