x,y
444.25,258.75
439.92,360.00
946.24,686.85
852.00,792.00
430.35,680.06
750.46,481.78
649.15,474.77
548.80,264.40
542.79,576.57
330.27,571.00
750.80,375.10
547.00,365.78
751.10,278.00
652.00,267.93
644.78,684.78
848.78,486.11
944.91,387.91
439.50,465.64
748.25,690.38
436.29,573.00
545.00,474.29
334.87,355.47
746.25,790.88
538.00,792.73
443.31,150.92
325.15,679.31
648.88,372.35
849.43,585.71
429.85,790.38
753.50,176.00
945.00,488.00
944.78,193.22
849.33,382.00
849.00,283.94
540.03,685.47
653.50,168.00
946.00,290.00
945.00,588.00
849.00,688.50
749.70,584.85
338.96,250.56
851.08,185.86
550.00,161.00
645.62,582.00
333.00,462.00
947.60,791.40
644.34,792.52
162.96,870.94
115.96,876.89
