x,y
603.14,426.83
617.05,235.79
596.10,522.62
610.30,331.32
739.11,117.36
588.93,617.52
472.71,469.40
458.48,670.60
624.52,140.05
726.60,298.18
465.45,570.49
326.25,516.27
698.71,658.21
713.00,479.96
732.81,207.94
720.40,389.05
479.45,368.07
487.72,265.98
333.80,408.36
581.85,711.03
841.70,96.61
704.70,570.53
836.79,182.48
801.11,612.25
495.73,165.30
823.83,355.81
829.90,268.81
312.32,730.61
929.50,159.50
169.86,453.62
160.58,569.96
154.22,684.89
901.79,490.71
815.72,441.90
918.00,323.91
452.46,769.39
318.82,624.04
934.68,77.68
809.74,527.58
342.73,299.92
911.29,407.35
922.38,242.77
352.39,191.70
306.24,835.66
371.00,466.00
191.27,221.37
180.20,336.96
146.77,799.46
75.00,459.00
