x,y
119.98,182.31
236.25,186.23
354.48,190.21
473.22,193.30
591.02,195.27
708.22,196.40
825.61,199.00
113.11,299.49
231.78,303.36
350.70,307.33
470.50,310.31
590.50,312.12
709.35,314.35
827.69,314.93
107.88,419.26
226.94,422.26
347.23,426.35
468.22,428.49
589.14,431.03
709.28,433.06
828.28,434.72
258.00,502.00
102.69,539.58
223.62,543.54
344.59,546.29
465.93,549.03
587.69,551.61
707.70,553.69
828.34,556.09
99.00,664.07
219.57,665.88
341.91,668.21
463.50,671.25
585.92,673.17
706.81,675.39
827.75,678.80
96.09,787.77
216.86,788.33
338.67,790.90
461.20,793.48
583.24,795.84
704.89,799.26
826.17,802.44
214.65,911.94
336.42,913.54
458.66,915.57
581.55,918.30
702.45,921.42
824.50,926.00
