x,y
500.38,961.62
943.07,674.44
306.45,116.55
559.66,238.14
623.09,843.13
540.22,552.09
457.10,1168.82
70.33,89.33
825.44,1264.92
700.00,989.00
369.92,122.12
586.00,990.00
262.71,949.29
958.12,1093.54
351.38,353.75
530.52,621.83
688.00,1187.86
463.00,1080.00
520.94,727.59
692.00,1132.50
156.88,36.00
927.50,1067.50
388.90,988.70
839.42,1060.89
397.43,244.87
0.80,260.80
732.00,984.00
935.00,919.00
532.00,687.00
844.00,980.50
27.00,261.50
222.33,33.42
821.00,879.00
491.00,1078.00
711.91,1218.09
418.00,678.00
857.77,729.77
434.29,364.71
401.00,127.50
718.00,718.00
427.93,605.13
393.50,923.00
485.57,824.13
429.00,553.00
936.00,874.00
587.00,957.00
934.50,980.50
193.40,102.40
674.00,229.50
