x,y
1246.92,17.40
382.00,156.00
601.50,171.00
805.58,188.11
904.50,197.00
276.50,255.50
385.78,263.22
493.40,266.60
702.00,280.00
801.64,287.36
270.27,362.27
491.62,375.62
383.00,375.00
597.18,381.27
700.67,383.83
801.29,389.00
900.25,396.50
380.40,475.60
484.50,480.00
593.17,486.75
699.94,490.97
801.00,493.00
899.50,497.00
266.00,581.00
373.64,585.45
486.00,591.11
591.82,593.91
698.89,595.42
801.00,598.00
900.00,600.00
261.82,688.73
372.67,695.00
485.25,697.47
900.18,700.73
589.40,701.67
697.00,709.00
16.39,777.57
66.72,791.13
480.22,806.56
696.00,807.36
369.00,808.00
901.00,807.00
589.26,811.26
800.00,808.00
192.50,855.00
109.26,868.47
169.00,865.00
136.00,872.00
1.00,895.00
