x,y
27.00,261.50
57.07,191.55
78.38,90.33
92.00,409.50
164.38,183.58
223.35,403.83
229.00,297.61
349.50,309.00
376.07,459.45
434.25,364.71
472.00,184.00
478.38,133.42
553.10,238.60
601.62,191.42
709.67,416.33
724.83,302.65
834.75,302.71
838.50,192.00
841.00,417.50
12.35,558.83
219.40,536.90
343.67,538.62
479.50,531.50
83.00,648.00
224.00,649.00
292.50,734.00
468.00,765.50
468.00,781.50
492.50,783.00
520.90,727.60
588.50,774.00
599.83,796.65
605.50,690.00
830.97,720.07
836.38,654.67
375.55,874.93
467.00,885.50
262.71,949.25
369.33,1148.33
480.67,1172.67
499.67,964.67
586.00,990.00
806.35,1200.83
816.00,1014.39
839.45,1060.93
840.00,1114.00
927.00,1166.50
953.50,1125.50
796.50,1266.50
