x,y
121.08,184.08
236.27,186.24
354.63,191.67
473.50,191.86
591.03,195.30
707.92,195.24
113.15,299.50
231.86,303.45
350.81,307.44
470.47,310.39
590.63,312.06
709.52,314.36
827.96,313.51
105.57,417.07
226.91,422.13
347.11,427.78
468.22,428.39
589.21,431.03
709.42,433.06
828.33,442.62
828.65,425.83
102.71,539.67
223.72,544.90
344.74,547.94
465.98,549.01
587.80,550.09
707.40,555.18
828.25,557.86
99.00,665.72
219.52,665.94
342.16,666.58
463.50,671.32
586.05,671.83
706.71,675.29
827.70,678.78
97.52,787.87
216.82,788.24
338.58,790.87
461.29,801.20
582.94,794.26
704.60,800.48
826.00,809.50
826.57,793.43
214.65,912.04
336.41,913.60
458.66,915.57
581.00,927.00
582.00,910.50
703.00,913.50
