x,y
160.50,52.00
439.00,153.00
446.00,147.00
653.50,168.00
753.50,176.00
849.72,185.95
857.50,185.00
331.50,250.00
341.04,250.73
444.28,258.61
548.67,262.38
750.50,275.00
752.00,282.50
849.13,283.77
336.29,355.50
440.12,360.00
547.00,365.67
650.16,372.78
750.71,377.25
849.39,382.00
439.50,465.58
545.00,471.50
649.72,475.00
750.00,486.00
750.81,478.89
848.57,483.43
330.70,568.75
436.28,573.00
543.00,576.69
749.00,589.50
752.11,582.82
849.38,585.67
325.17,679.20
425.50,680.00
433.45,680.07
533.50,683.00
540.22,686.52
646.14,684.64
748.43,687.57
849.00,688.50
11.50,780.50
71.36,789.65
429.83,790.32
538.00,792.60
637.50,792.00
644.50,785.00
747.71,793.00
748.00,785.50
851.84,792.03
