x,y
338.96,250.56
443.31,150.92
444.25,258.75
548.80,264.40
550.00,161.00
652.00,267.93
653.50,168.00
751.10,278.00
753.50,176.00
849.00,283.94
851.08,185.86
944.78,193.22
946.00,290.00
334.87,355.47
439.92,360.00
547.00,365.78
648.88,372.35
750.80,375.10
849.33,382.00
944.91,387.91
333.00,462.00
439.50,465.64
545.00,474.29
649.15,474.77
750.46,481.78
848.78,486.11
945.00,488.00
330.27,571.00
436.29,573.00
542.79,576.57
645.62,582.00
749.70,584.85
849.43,585.71
945.00,588.00
325.15,679.31
430.35,680.06
540.03,685.47
644.78,684.78
748.25,690.38
849.00,688.50
946.24,686.85
429.85,790.38
538.00,792.73
644.34,792.52
746.25,790.88
852.00,792.00
947.60,791.40
