x,y
146.77,799.46
154.22,684.89
160.58,569.96
169.86,453.62
180.20,336.96
191.27,221.37
306.24,835.66
312.32,730.61
318.82,624.04
326.25,516.27
333.80,408.36
342.73,299.92
352.39,191.70
371.00,466.00
452.46,769.39
458.48,670.60
465.45,570.49
472.71,469.40
479.45,368.07
487.72,265.98
495.73,165.30
581.85,711.03
588.93,617.52
596.10,522.62
603.14,426.83
610.30,331.32
617.05,235.79
624.52,140.05
698.71,658.21
704.70,570.53
713.00,479.96
720.40,389.05
726.60,298.18
732.81,207.94
739.11,117.36
801.11,612.25
809.74,527.58
815.72,441.90
823.83,355.81
829.90,268.81
836.79,182.48
841.70,96.61
901.79,490.71
911.29,407.35
918.00,323.91
922.38,242.77
929.50,159.50
934.68,77.68
938.01,789.79
