x,y
70.33,89.33
156.88,36.00
193.40,102.40
306.45,116.55
369.92,122.12
471.14,132.50
0.80,260.80
27.00,261.50
32.40,418.60
351.38,353.75
379.00,384.00
397.43,244.87
401.86,406.38
434.29,364.71
559.66,238.14
834.71,302.71
418.00,678.00
427.93,605.13
520.94,727.59
530.52,621.83
532.00,687.00
540.22,552.09
830.57,711.83
835.53,592.23
857.77,729.77
943.07,674.44
262.71,949.29
381.53,883.74
388.90,988.70
393.50,923.00
485.57,824.13
500.38,961.62
508.71,839.14
586.00,990.00
623.09,843.13
700.00,989.00
819.67,944.47
934.50,980.50
369.40,1148.35
457.10,1168.82
463.00,1080.00
688.00,1187.86
692.00,1132.50
711.91,1218.09
825.44,1264.92
839.42,1060.89
927.50,1067.50
953.50,1125.50
958.12,1093.54
