x,y
625.74,289.91
1077.72,797.04
392.31,151.17
385.71,268.88
852.38,547.48
748.93,186.36
620.06,409.10
856.50,428.73
963.11,792.91
506.82,279.29
1079.46,563.69
1082.70,334.75
848.45,667.50
863.37,198.23
499.99,398.97
635.77,60.60
969.91,438.37
1080.37,447.78
979.63,101.07
377.62,390.15
323.91,856.37
512.44,162.25
631.73,174.26
1078.78,679.40
738.82,418.73
976.09,210.93
743.87,301.47
858.82,312.44
517.90,48.10
484.57,642.82
972.60,322.90
964.88,674.15
1088.74,115.29
369.58,510.17
729.15,660.21
601.87,775.54
615.00,530.18
734.44,539.24
753.41,73.09
492.53,520.82
966.85,557.40
867.24,87.31
476.73,767.36
845.39,788.21
361.13,633.23
724.80,782.41
1085.66,224.71
1169.59,874.77
608.26,651.81
