x,y
580.32,346.39
204.27,473.85
707.63,459.02
447.84,587.16
212.92,358.86
339.39,244.74
320.22,589.58
72.35,595.85
61.75,718.85
579.56,462.81
83.30,476.34
834.34,335.43
706.51,341.44
444.35,712.49
325.92,470.59
313.88,714.25
579.09,584.38
331.61,355.36
186.53,716.87
708.97,977.79
51.20,846.58
439.33,842.59
170.67,975.55
451.30,467.15
178.43,844.14
710.04,840.94
952.87,889.39
574.64,841.74
708.99,581.18
455.69,351.50
307.56,843.90
571.90,975.36
709.93,708.99
94.67,362.21
845.18,707.41
838.11,454.11
301.83,975.05
195.17,594.04
702.22,227.12
828.56,219.23
576.02,710.10
841.98,577.87
581.57,233.64
847.20,840.93
436.02,977.55
459.07,240.14
106.50,252.50
223.20,249.14
916.15,1271.19
