x,y
590.07,351.63
200.01,602.00
321.03,725.66
585.59,855.15
847.72,341.56
585.26,990.56
589.70,593.92
587.88,721.42
589.37,470.16
332.75,477.52
75.02,603.44
185.84,856.54
217.34,363.95
192.84,727.12
208.64,479.44
344.37,248.00
720.75,591.67
723.01,854.08
86.38,482.82
448.67,856.08
952.25,1078.76
721.29,720.22
859.08,718.41
456.97,596.43
453.35,723.43
176.76,989.62
718.11,347.38
840.66,224.11
326.95,598.95
315.50,855.39
712.56,231.78
336.82,360.58
459.91,473.54
446.84,989.75
97.35,365.83
722.65,992.96
721.28,467.30
310.28,989.99
109.88,254.78
850.43,462.15
862.32,854.92
855.36,587.92
55.41,858.04
590.66,237.60
465.26,356.26
66.85,730.70
467.49,243.33
227.64,252.32
955.36,863.00
