x,y
189.00,7.50
546.50,59.00
864.50,72.50
354.50,85.00
80.00,229.50
694.50,277.50
178.00,281.00
537.00,306.00
769.00,373.50
277.00,402.00
672.58,408.53
789.50,483.50
128.50,546.00
77.00,593.00
351.58,598.11
266.50,684.00
900.00,699.50
225.50,862.50
782.67,932.83
636.50,1056.50
195.00,1064.00
437.00,1074.50
769.41,444.06
166.94,534.41
609.41,1046.06
606.59,1075.06
525.59,1087.94
302.14,24.14
24.86,297.86
476.50,343.50
92.57,467.43
287.86,553.00
554.43,581.14
152.50,663.50
333.71,709.86
907.14,728.57
546.29,982.71
750.14,1187.86
263.57,1263.29
165.00,62.00
22.09,347.23
892.60,360.60
192.60,379.40
4.23,397.77
546.40,423.40
737.60,491.40
928.64,575.32
700.32,590.09
168.40,799.40
