x,y
845.50,0.50
18.50,149.65
52.50,183.00
54.39,70.10
78.90,209.42
102.80,143.13
108.50,254.50
123.47,102.22
134.74,71.78
344.57,247.57
714.50,232.00
0.93,506.50
9.57,466.46
17.77,417.47
100.29,365.98
216.75,363.75
331.50,477.00
338.00,360.39
469.00,473.00
589.00,478.50
843.50,462.00
327.50,598.00
466.50,596.00
588.41,593.84
722.14,591.00
856.00,588.29
587.00,730.50
722.07,720.45
859.50,719.00
192.00,856.00
723.00,863.50
176.26,990.36
309.00,999.50
731.50,992.00
922.17,1234.67
944.06,1192.90
946.57,1141.57
952.00,1082.50
955.00,1223.50
