x,y
303.30,372.20
303.65,183.87
324.19,295.26
326.43,349.90
361.56,351.12
373.15,274.30
421.88,429.87
442.65,375.82
498.64,377.20
525.32,157.92
538.05,491.61
545.06,77.82
561.35,243.50
567.40,358.41
627.20,282.30
642.00,186.55
677.96,205.38
678.11,458.38
745.00,349.48
776.29,287.59
823.99,480.43
846.14,189.81
862.57,290.25
874.56,392.58
896.29,291.57
922.60,252.39
934.16,157.03
952.57,255.57
981.32,239.59
997.58,160.15
1012.23,241.67
1047.00,81.88
1047.72,121.82
1073.24,41.16
1103.85,141.71
1104.44,205.67
1190.15,208.45
1218.70,133.20
88.33,671.23
374.35,712.03
398.22,857.29
433.26,775.83
467.43,611.70
544.57,818.18
745.88,729.32
826.70,716.84
828.36,834.03
1093.79,671.21
1094.50,738.48
