x,y
147.67,798.93
160.95,569.90
166.62,680.58
169.85,453.73
180.27,336.97
190.78,224.75
295.00,841.00
314.57,729.60
319.00,624.00
326.34,516.61
333.76,408.44
340.63,300.44
350.01,192.15
454.09,768.62
460.96,669.57
467.81,569.70
474.85,468.87
477.75,368.57
485.83,266.34
495.72,165.35
583.94,710.08
589.24,617.53
596.12,522.61
603.05,427.60
610.33,331.36
617.31,235.87
622.43,140.46
698.22,658.28
703.89,570.90
713.22,479.09
721.36,388.70
726.65,298.17
734.84,208.34
738.95,118.31
801.16,612.31
809.67,527.61
815.36,443.14
823.97,355.93
829.15,269.02
836.77,182.48
840.80,96.78
901.95,490.68
911.41,407.27
918.03,323.42
922.41,242.71
929.50,159.50
936.46,77.29
654.00,969.10
