x,y
395.43,298.46
455.53,316.43
514.02,77.43
529.57,318.46
545.08,158.43
546.43,36.54
559.80,159.75
574.06,117.94
617.00,243.29
617.89,227.00
666.54,284.57
680.28,345.67
688.06,123.06
716.63,138.80
754.95,365.95
760.06,83.94
763.43,286.46
787.87,248.84
808.06,168.06
815.94,232.94
868.92,88.60
881.16,112.13
898.08,132.40
913.40,253.12
924.57,292.54
1096.47,221.10
1113.00,182.50
1178.04,145.20
528.70,544.75
561.72,509.75
578.40,435.70
596.95,602.05
620.20,475.25
661.25,458.30
663.13,438.33
734.37,463.40
769.94,442.06
1002.00,619.00
298.94,744.06
379.96,770.40
431.28,809.67
441.00,715.29
481.00,759.89
498.32,761.20
518.00,815.00
528.43,850.54
617.00,790.10
899.89,838.00
973.43,809.46
