x,y
57.07,191.55
78.38,90.33
164.38,183.58
226.62,41.31
472.00,184.00
478.38,133.42
601.62,191.42
27.00,261.50
223.35,403.83
229.00,297.61
349.50,309.00
376.07,459.45
434.25,364.71
471.05,414.14
709.67,416.33
724.83,302.65
834.75,302.71
841.00,417.50
12.35,558.83
343.67,538.62
83.00,648.00
87.86,770.95
90.45,656.07
95.50,771.00
216.38,649.33
224.00,649.00
262.71,949.25
331.50,771.00
369.33,1148.33
375.55,874.93
480.67,1172.67
492.50,783.00
499.67,964.67
586.00,990.00
599.83,796.65
605.50,690.00
623.07,843.21
723.11,766.93
806.35,1200.83
816.00,1014.39
819.19,947.89
820.14,940.86
827.69,1238.38
830.97,720.07
836.38,654.67
839.45,1060.93
840.00,1114.00
847.00,931.50
927.00,1166.50
