x,y
104.47,335.92
120.50,216.00
219.00,219.00
226.67,211.38
452.61,331.37
568.44,350.50
569.36,236.88
630.00,290.50
675.50,344.50
683.39,353.00
683.53,336.92
789.00,346.00
804.62,346.67
97.46,452.43
105.08,444.53
214.33,456.62
333.36,443.88
798.50,453.50
84.00,563.00
91.43,563.57
91.62,571.69
91.80,555.63
101.00,564.00
210.00,574.00
211.00,559.00
245.57,525.57
328.64,578.12
447.29,581.20
574.00,530.50
761.00,561.50
75.00,806.00
79.50,684.00
82.61,813.63
87.00,694.00
87.35,675.83
90.76,806.25
117.50,747.50
198.43,685.54
202.29,814.75
206.00,694.00
207.00,678.00
570.92,693.53
796.40,827.80
796.68,811.50
191.31,928.62
207.50,929.00
676.00,945.50
677.00,929.50
794.00,941.00
