x,y
120.04,182.30
236.17,186.32
354.55,190.65
472.94,192.91
591.10,195.48
708.46,196.41
825.52,198.96
112.93,299.85
231.50,303.60
350.90,306.81
470.54,309.82
590.18,312.37
709.34,314.59
827.70,315.26
107.85,418.87
227.26,422.72
347.25,425.83
468.25,428.83
589.06,431.08
708.95,433.12
828.25,434.89
102.53,539.27
223.48,543.74
344.62,546.40
465.87,549.09
587.55,551.45
707.80,553.96
828.35,556.29
99.47,664.67
219.88,665.86
341.55,667.67
463.24,670.86
586.04,673.17
707.07,675.64
827.72,678.76
95.85,787.59
216.94,788.39
338.66,790.93
461.19,793.30
583.63,795.96
705.11,799.22
825.84,802.72
214.95,911.87
336.47,913.55
459.01,915.57
581.27,918.37
702.44,921.74
824.00,926.00
