x,y
474.40,417.40
674.00,229.00
115.40,93.60
397.50,246.00
27.00,261.00
819.71,944.57
489.00,825.00
350.12,299.88
712.59,1216.06
831.30,716.00
1.00,192.00
333.00,611.00
352.27,190.30
252.33,426.83
927.06,1147.78
309.00,116.00
302.43,178.89
469.67,773.72
186.50,407.00
703.00,861.00
815.58,1017.51
469.47,531.32
23.50,85.00
376.00,875.00
529.00,692.00
344.69,529.53
19.00,193.00
221.23,412.16
210.45,893.25
472.51,190.41
269.17,920.17
469.00,300.80
78.50,90.00
943.00,736.00
709.13,194.04
342.59,649.88
473.36,892.18
230.72,189.30
723.20,897.52
688.00,1185.00
117.05,185.42
272.00,890.00
847.37,654.97
298.50,704.50
605.50,690.00
338.39,895.05
943.40,674.60
848.95,777.39
535.00,608.00
