x,y
25.70,192.10
27.00,261.50
57.07,191.55
78.38,90.33
137.43,182.54
164.38,183.58
226.62,41.31
229.00,297.61
391.00,246.50
404.13,243.16
478.38,133.42
481.00,191.00
601.62,191.42
834.75,302.71
240.47,420.57
376.07,459.45
376.94,446.94
434.25,364.71
471.05,414.14
832.50,417.00
14.58,538.50
343.67,538.62
83.00,648.00
95.50,771.00
220.20,894.37
224.00,649.00
262.71,949.25
293.08,726.54
331.50,771.00
375.55,874.93
477.50,651.00
492.50,783.00
499.67,964.67
586.00,990.00
605.50,690.00
609.75,666.70
623.07,843.21
819.19,947.89
830.97,720.07
836.38,654.67
847.00,931.50
849.25,785.30
369.33,1148.33
480.67,1172.67
811.67,1060.28
839.45,1060.93
840.00,1114.00
927.00,1166.50
827.69,1238.38
