x,y
90.25,583.75
302.43,64.00
320.91,235.47
323.25,426.25
352.57,234.95
403.59,390.84
441.41,390.91
496.07,158.50
504.00,97.57
523.09,280.15
524.85,530.09
541.24,545.25
561.92,222.02
563.88,263.10
569.88,509.50
587.07,265.50
592.56,534.88
638.65,474.10
676.75,286.75
742.54,365.73
746.75,230.75
822.59,288.84
848.41,391.25
904.59,74.56
911.75,212.75
924.09,195.41
1014.20,161.40
1016.21,311.18
1044.88,258.64
1127.96,586.65
1135.41,44.16
1137.20,224.40
1153.57,241.98
1168.80,144.60
1171.00,129.57
1172.75,225.95
1214.18,106.98
52.00,812.43
330.25,709.75
371.00,737.00
503.00,849.00
550.41,718.75
588.92,855.53
626.00,791.00
702.50,653.00
753.08,760.47
771.08,832.47
780.12,797.97
848.65,852.20
