x,y
18.50,149.65
46.50,175.00
52.50,183.00
54.39,70.10
61.94,190.94
78.90,209.42
85.41,193.52
90.07,182.45
98.93,159.55
102.80,143.13
108.50,254.50
116.50,114.00
123.47,102.22
134.74,71.78
344.57,247.57
714.50,232.00
100.29,365.98
216.75,363.75
338.00,360.39
0.93,506.50
4.90,489.16
9.57,466.46
15.00,451.00
331.50,477.00
469.00,473.00
589.00,478.50
843.50,462.00
327.50,598.00
466.50,596.00
588.41,593.84
722.14,591.00
856.00,588.29
587.00,730.50
722.07,720.45
859.50,719.00
192.00,856.00
723.00,863.50
176.26,990.36
309.00,999.50
731.50,992.00
922.17,1234.67
929.43,1218.57
935.80,1205.57
944.06,1192.90
946.57,1141.57
948.26,1163.79
952.00,1082.50
952.50,1131.50
955.00,1223.50
