x,y
157.00,22.50
80.33,87.83
581.00,95.00
565.00,122.00
496.67,124.83
310.50,149.00
699.50,152.00
130.67,170.00
317.00,195.00
442.00,305.00
49.00,354.50
699.33,374.17
236.50,385.00
156.50,508.50
736.50,521.50
1.33,529.00
160.00,538.50
245.00,612.50
865.00,641.50
633.50,722.00
239.00,750.00
889.67,841.00
645.00,877.33
637.00,909.00
705.50,1010.00
531.00,1147.50
100.06,106.59
41.11,137.42
605.00,170.00
44.06,176.41
391.58,201.53
816.89,271.58
393.59,320.06
717.11,402.42
642.42,528.89
239.41,651.94
148.42,1033.89
117.58,1142.11
84.41,1196.94
786.50,45.00
554.50,74.50
726.00,198.50
604.50,331.50
623.65,546.40
563.50,881.50
39.50,1102.50
507.00,28.00
524.00,43.00
807.60,53.40
