x,y
77.00,593.00
864.50,72.50
287.86,553.00
609.41,1046.06
900.00,699.50
168.40,799.40
152.50,663.50
263.57,1263.29
92.57,467.43
225.50,862.50
351.58,598.11
636.50,1056.50
277.00,402.00
113.00,1213.88
782.67,932.83
82.00,811.00
928.64,575.32
892.60,360.60
646.00,278.50
178.00,281.00
52.58,399.96
400.00,1172.00
576.00,55.50
266.50,684.00
166.94,534.41
859.50,128.00
546.50,59.00
407.00,1078.50
98.40,854.40
354.50,85.00
4.23,397.77
546.40,423.40
195.00,1064.00
891.00,778.50
606.59,1075.06
805.50,20.50
672.58,408.53
27.00,921.00
519.00,252.50
446.75,393.75
345.40,1163.40
223.50,1230.36
499.50,204.00
887.00,384.00
8.00,921.00
299.00,361.00
50.00,822.00
642.00,347.00
22.09,347.23
