x,y
375.81,586.30
385.78,262.37
372.25,695.47
899.86,600.34
804.92,188.04
899.49,395.11
382.27,368.85
490.71,374.08
593.02,592.71
700.90,383.23
800.13,598.43
380.09,475.88
483.73,698.27
702.76,281.34
899.92,702.23
491.99,266.62
598.70,273.82
596.53,378.09
800.63,493.40
803.11,287.91
799.26,703.11
488.12,480.44
694.93,808.39
799.86,807.47
600.19,170.86
595.23,485.14
899.36,497.73
698.40,595.44
485.85,588.98
699.75,489.15
590.94,699.75
367.61,805.55
273.72,362.46
901.91,296.62
704.91,179.91
480.25,807.81
697.02,702.34
262.08,691.69
264.89,582.07
494.66,163.52
800.06,388.21
387.25,155.53
269.64,472.57
276.63,254.38
589.26,808.83
900.88,807.68
256.89,802.58
902.45,196.53
81.50,846.39
